,,,,,
,,,,,
Product NAME,DESCRIPTION,Product LINK,Unit Price,QTY,Total Price
XIAO-ESP32-C3-DIP-SMD,ESP32,https://www.seeedstudio.com/Seeed-XIAO-ESP32C3-p-5431.html,USD $4.99,1,USD $4.99
Mini Active Piezo Buzzer,12*9.5mm  buzzer,https://www.aliexpress.us/item/3256810135642750.html,USD $0.099,10,USD $0.99
4.5 x 4.5 mm tact switch push button,4.5 x 4.5 mm push button,https://www.aliexpress.us/item/3256809460059591.html,USD $ 0.15,10,USD $ 0.15
 Original 0.96 inch oled IIC Serial White OLED Display Module 128X64 I2C SSD1306 12864 LCD Screen Board ,"        
0.96 128x64  OLED scren",https://www.aliexpress.us/item/3256805954920554.html,USD  $0.99,1,USD $0.99
2-56 Stainless Steel UK US Coarse Thread Hex Hexagon Screw Nut,nuts,https://www.aliexpress.us/item/3256805303522990.html,USD $0.99,50,USD $0.99
2-56 Round Stainless Steel or Black G10.9 Hex Socket screw Button Head Allen Bolt Screws,screws,https://www.aliexpress.us/item/2251832624537980.html,USD $0.99,50,USD $0.99
"ANYCUBIC PLA 3D Printer Filament, 3D Printing PLA Filament 1.75mm Dimensional Accuracy +/- 0.02mm, 1KG Spool (2.2 lbs), Texture Grey",filament,https://www.amazon.com/ANYCUBIC-Printer-Filament-Dimensional-Accuracy/dp/B0834W5L3L/ref=sr_1_3?crid=3ANDIU76JL5KV&dib=eyJ2IjoiMSJ9.HfDCsbe_cZwdgNCB73dZs-YSf-hperqGZ9JpHyfc1_Mj_tWHqG3XM30qFwcwufSu7xzOvlkfy5JETWAEcVsyb87lcgo9X1kuDcMF_ZC27wAXbn81KGyhMjrCJAmz0ovT5jmmzA7GukdUS5Y7zNQJ6eTPglJl3hM4HzABOyilew0oA236Rp9SobwXjfdIzWI5m5Om-wTNbVz5UOeqBRngXzTphNvheFzk9t7dj8p58KA.PKLoxO502sXGR0fvU6aAUrE-hsxlqrxbOM7nAYxrUSk&dib_tag=se&keywords=generic+pla+printer+filament&qid=1780871905&sprefix=generic+pla+printer+filam%2Caps%2C430&sr=8-3,USD $14.49,1,USD $14.49